PastQuesId,PastQuesTitle,PastQuesBody,PastQuesTags
67,"['pdf', 'viewer', 'window']","['ve', 'tri', 'foxit', 'adob', 's', 'reader', 'm', 'satisfi', 'foxit', 'updat', 'nag', 'non', 'critic', 'junk', 'adob', 'pdf', 'reader', 'bloatwar', 'option', 'peopl', 'like']","['windows', 'pdf']"
94,"['window', 'servic', 'safe', 'disabl']","['m', 'try', 'improv', 'boot', 'time', 'gener', 'perform', 'window', 'xp', 'machin', 'figur', 'massiv', 'collect', 'servic', 'window', 'automat', 'start', 'impact', 'servic', 'safe', 'disabl', 'obvious', 'servic', 'reason', 'list', 'servic', 'provid', 'reason', 'exampl', 'd', '_not_', 'disabl']","['windows', 'services']"
122,"['firefox', 'pdf', 'plugin', 'view', 'pdf', 'browser', 'window']","['plugin', 'extens', 'view', 'pdf', 'directli', 'firefox', 'window', 'like', 'safari', 'mac', 's', 'annoi', 'download', 'open', 'file', 'd', 'like', 'abl', 'view', 'pdf', 'like', 'web', 'page', 'browser']","['windows', 'firefox', 'pdf', 'browser', 'addons']"
127,"['softwar', 'us', 'encrypt', 'hard', 'drive']","['current', 'run', 'window', 'rc', 'x', 'home', 'interest', 'encrypt', 'hard', 'drive', 've', 'heard', 'good', 'thing', 'truecrypt', 'curiou', 'folk', 'suggest', 'primarili', 'us', 'softwar', 'develop', 'concern', 'perform', 'degrad', 'encrypt', 'introduc']","['security', 'disk', 'encryption']"
153,"['log', 'viewer', 'window']","['m', 'develop', 'gener', 'big', 'log', 'file', 've', 'tri', 'log', 'viewer', 'applic', 'free', 'far', 'mtail', 'like', 'lack', 'featur', 'like', 'log', 'viewer', 'handl', 'file', 'mb', 'filter', 'highlight', 'search', 'queri', 'behav', 'like', 'log', 'viewer', 'real', 'time', 'fast', 'question', 'log', 'viewer', 'recommend', 'window']","['windows', 'logging', 'viewer']"
174,"['good', 'solut', 'home', 'backup', 'file', 'print', 'share']","['m', 'look', 'cheap', 'reliabl', 'solut', 'allow', 'share', 'file', 'printer', 'home', 'network', 'raid', 'support', 'low', 'power', 'consumpt', 'nice', 'extra', 'na', 'hand', 'built', 'home', 'server', 'softwar', 'window', 'home', 'server', 'worth', 'price', 'compar', 'freeli', 'avail', 'open', 'sourc', 'altern']","['backup', 'home', 'server']"
223,"['wai', 'send', 'mail', 'recipi', 'menu', 'entri', 'point', 'gmail']","['m', 'window', 'xp', 'pro', 'current', 'contextu', 'menu', 'explor', 'send', 'mail', 'recipi', 'entri', 'launch', 'outlook', 'like', 'launch', 'gmail', 'instead', 'possibl', 'gmail', 'associ', 'mailto', 'link', 's']","['windows', 'xp', 'gmail', 'send', 'to']"
274,"['altern', 'textexpand', 'mac', 'os', 'x']","['m', 'look', 'open', 'sourc', 'altern', 'textexpand', 'typeit', 'typin', 'm', 'cheap', 'm', 'interest', 'sourc', 'code', 't', 'polish', 'app', 'mention']","['mac', 'open', 'source', 'textexpander']"
317,"['boot', 'partit', 'resiz']","['free', 'util', 'like', 'partit', 'magic', 'resiz', 'boot', 'partit', 'window', 'xp']","['windows', 'disk', 'utility']"
331,"['reset', 'mac', 'os', 'x', 'window', 'posit', 'attach', 'extern', 'monitor']","['mac', 'os', 'multipl', 'monitor', 'great', 'remov', 'extern', 'monitor', 'nd', 'monitor', 'usual', 'window', 'posit', 'origin', 'extern', 'monitor', 't', 'posit', 'default', 'monitor', 'shortcut', 'kei', 'util', 'reset', 'window', 'posit', 'kind', 'usag']","['macos', 'mac', 'window']"
348,"['best', 'softwar', 'manag', 'dupe', 'clean', 'data', 'itun']","['know', 'lot', 'paid', 'option', 'wonder', 'folk', 'best', 'follow', 'task', 'minimum', 'requir', 'merg', 'dupe', 'identifi', 'dupe', 'case', 'differ', 'identifi', 'dupe', 'pluralis', 'differ', 'identifi', 'dupe', 'spell', 'prob', 'identifi', 'dupe', 'collabor', 'artist', 'cite', 'differ', 'identifi', 'track', 'dupe', 'track', 'length', 'differ', 'get', 'album', 'art', 'miss']","['itunes', 'mp']"
375,"['backup', 'softwar', 'mac', 'os', 'x']","['backup', 'softwar', 'recommend', 'mac', 'os', 'x', 'probabl', 'know', 'leopard', 'come', 'integr', 'backup', 'tool', 'call', 'time', 'machin', 'work', 'pretti', 'despit', 'miss', 'advanc', 'restor', 'search', 'featur', 's', 'list', 'backup', 'softwar', 'mac', 'os', 'x', 'time', 'machin', 'integr', 'carbon', 'copi', 'cloner', 'free', 'superdup', 'commerci', 'ibackup', 'free', 'igousb', 'commerci', 'know', 'softwar', 'us', 'featur', 't', 'live']","['macos', 'backup', 'software', 'rec', 'time', 'machine', 'community', 'faq', 'proposed']"
395,"['password', 'manag', 'iphon', 'window', 'xp']","['recommend', 'password', 'manag', 'sync', 'iphon', 'prefer', 'window', 'xp', 'comput', 'abl', 'gener', 'password', 'cours', 'nice', 'addit', 'requir']","['windows', 'passwords', 'sync', 'iphone']"
414,"['home', 'modem', 'network', 'gear', 'reliabl']","['home', 'modem', 'router', 'occasion', 't', 'function', 'exactli', 'like', 'weird', 'behavior', 'complet', 'unpredict', 'guess', 'mayb', 'overh', 'happen', 'home', 'network', 'gear', 'prefer', 'add', 'fan', 'nois', 'minimum', 'brand', 'home', 'network', 'gear', 'year', 'requir', 'restart']","['router', 'home', 'networking', 'modem']"
428,"['effect', 'sleep', 'laptop', 'bad', 'batteri']","['possibl', 'duplic', 'bad', 'sleep', 'mode', 'time', 'shut', 'laptop', 'os', 'vista', 'instead', 'sleep', 'bad', 'consequ', 'approach']","['windows', 'vista', 'laptop', 'sleep']"
