DuplicateQuesId,DuplicateQuesTitle,DuplicateQuesBody,DuplicateQuesTags
352616,"['automat', 'login', 'lock']","['want', 'configur', 'window', 'login', 'automat', 'switch', 's', 'm', 'lazi', 't', 'like', 'type', 'password', 's', 'want', 'program', 'configur', 'run', 'startup', 'run', 'automat', 't', 'want', 'desktop', 'want', 'remain', 'lock', 'm', 'readi', 'work', 'type', 'password', 't', 'wait', 'startup', 'program', 'run']","['windows', 'windows', 'security', 'boot', 'automation']"
523928,"['run', 'integr', 'video', 'adaptor', 'alongsid', 'gpu', 'intel']","['ve', 'got', 'asu', 'p', 'z', 'motherboard', 'core', 'processor', 'geforc', 'video', 'card', 'm', 'run', 'window', 'primarili', 'us', 's', 'situat', 'want', 'us', 'hd', 'video', 'adaptor', 'built', 'core', 'processor', 'exampl', 'want', 'advantag', 'quicksync']","['graphics', 'card', 'intel', 'graphics']"
234923,"['determin', 'tab', 'firefox', 'cpu', 'resourc']","['current', 'firefox', 'similar', 'task', 'manag', 'googl', 'chrome', 'shift', 'esc', 'occasion', 'take', 'cpu', 'firefox', 'unrespons', 'multipl', 'window', 'dozen', 'tab', 'open', 'trial', 'error', 'go']","['firefox', 'cpu', 'usage', 'browser', 'tabs', 'resource', 'usage']"
486710,"['identifi', 'cell', 'column', 'contain', 'valu', 'column', 'b']","['m', 'advanc', 'excel', 'user', 'm', 'certain', 'excel', 'm', 'ask', 've', 'wai', 'attempt', 'search', 'question', 'similar', 'http', 'stackoverflow', 'com', 'question', 'valu', 'column', 'contain', 'valu', 'column', 'b', 'answer', 't', 'work', 'b', 's', 'correct', 'output', 'need', 'basic', 'column', 'column', 'contain', 'url', 'row', 'column', 'b', 'contain', 'url', 'slug', 'row', 'want', 'search', 'valu', 'column', 'b', 'contain', 'valu', 'column', 'want', 'return', 'valu', 'true', 'column', 'c', 've', 'read', 'vlookup', 'ought', 'work', 'life', 't', 'work', 'tri', 'answer', 'link', 'us', 'countif', 'match', 'case', 'got', 'fals', 'return', 'know', 'valu', 'column', 'b', 'contain', 'url', 'column', 'sens', 'edit', 'answer', 'provid', 'result', 'thank', 'suspect', 'ask', 'question', 'correctli', 'answer', 'm', 'get', 'true', 'result', 'look', 'like', 'true', 'correl', 'slug', 'column', 'b', 'url', 'column', 'let', 'wai', 'll', 'slug', 'column', 'b', 'c', 'b', 'true', 'respons', 'want', 'fomula', 'look', 'url', 'valu', 'column', 'c', 'contain', 'url', 'ye', 'return', 'true', 'b', 'fals', 'leav', 'blank', 'abl', 'url', 'contain', 'slug', 'search', 'apolog', 'clearer', 'origin', 'ask', 'feel', 'like', 's', 'slight', 'tweak', 'answer', 've', 'given']","['microsoft', 'excel', 'microsoft', 'excel', 'worksheet', 'function']"
494382,"['window', 'possibl', 'creat', 'imag']","['window', 'creat', 'imag', 'restor', 'later', 'backup', 'restor', 'option', 'enter', 'imag', 'descript', 'http', 'stack', 'imgur', 'com', 'o', 'kpi', 'png', 'backup', 'restor', 'option', 'chang', 'window', 'look', 'like', 'enter', 'imag', 'descript', 'http', 'stack', 'imgur', 'com', 'vn', 'j', 'png', 'possibl', 'creat', 'imag', 'restor', 'later', 'featur', 'remov']","['backup', 'windows']"
561771,"['pci', 'x', 'pci', 'express']","['motherboard', 'gigabyt', 'ga', 'ma', 'gmt', 's', 'written', 'pci', 'slot', 'x', 'pci', 'express', 'x', 'slot', 'run', 'x', 'x', 'pci', 'express', 'x', 'slot', 'x', 'pci', 'slot', 'graphic', 'card', 'follow', 'configur', 'bu', 'standard', 'pci', 'express', 'model', 'id', 'radeon', 'hd', 'graphic', 'card', 'compat', 'motherboard']","['windows', 'motherboard', 'amd', 'radeon', 'pci']"
244959,"['run', 'administr', 'shortcut', 'password', 'prompt']","['instal', 'program', 'window', 'need', 'admin', 'right', 'run', 'properli', 'run', 'window', 'xp', 'runa', 'command', 'savecr', 'switch', 'creat', 'shortcut', 'open', 'applic', 'run', 'administr', 'prompt', 'password', 'tri', 'option', 'internet', 'properti', 'dialogu', 'shortcut', 'mess', 'schedul', 'task', 'option', 'avail', 'run', 'window', 'home', 'premium', 'bit', 'program', 'instal', 'administr', 'icon', 'overlai', 'seam', 'run', 'admin', 'prompt', 'credenti', 'achiev', 'manual']","['windows', 'administrator', 'uac']"
87398,"['window', 'administr', 'command', 'prompt', 'start', 'path']","['know', 'creat', 'shortcut', 'administr', 'level', 'command', 'prompt', 'describ', 'question', 'm', 'see', 'us', 'shortcut', 'drop', 'c', 'window', 'path', 've', 'tri', 'specifi', 'shortcut', 's', 'properti', 'set', 'start', 'path', 'need', 'avail', 'time', 'run', 'cmd', 'ex', 'administr', 'complet', 'disregard', 'shortcut', 's', 'path', 'stick', 'c', 'window', 'suggest', 'window', 'respect', 'shortcut', 's', 'start', 'path']","['windows', 'command', 'line', 'runas']"
132891,"['reset', 'folder', 'permiss', 'default', 'ubuntu']","['recent', 'type', 'command', 'sudo', 'chmod', 'r', 'thing', 'like', 'sudo', 'work', 'normal', 'wonder', 'wai', 'reset', 'folder', 'permiss', 'origin', 'state']","['ubuntu', 'permissions', 'chmod']"
45789,"['run', 'dn', 'local', 'home', 'network']","['small', 'home', 'network', 'got', 'larger', 'new', 'roommat', 'exist', 'roommat', 'got', 'laptop', 'friend', 'come', 'laptop', 'd', 'like', 'run', 'local', 'dn', 'server', 'lookup', 'local', 'network', 'stuff', 'fileserv', 'local', 'windowstv', 'local', 'machinea', 'local', 'machineb', 'local', 'appletv', 'local', 'busi', 'line', 'static', 'ip', 'run', 'bind', 'name', 'intern', 'normal', 'account', 'isp', 's', 'dn', 'server', 'constantli', 'chang', 'reason', 'isp', 't', 'like', 'ip', 'rang', 'long', 'need', 'local', 'dn', 'automat', 'updat', 'us', 'isp', 's', 'dn', 'extern', 'traffic', 'abl', 'maintain', 'intern', 'dn', 'server', 'get', 'updat', 'host', 'file', 'hassl', 'new', 'machin', 'rebuild', 'exist', 'machin', 'win', 'ubuntu', 'addition', 'isp', 's', 'dn', 'server', 'crash', 'unrespons', 'open', 'dn', 'server', 'reliabl', 't', 'want', 'reconfig', 'dai', 'us', 'primari', 'fail', 'us', 'isp', 's', 'updat', 'look', 'workstat', 'abl', 'us', 'dhcp', 'connect', 'instead', 'get', 'isp', 'dn', 'server', 'get', 'intern']","['dns', 'home', 'networking']"
